code,term
10290811000001105,Tramadol 50mg capsules (Focus Pharmaceuticals Ltd) (AMP)
10414511000001103,Tramadol 50mg capsules (Arrow Generics Ltd) (AMP)
10444611000001105,Tramadol 50mg capsules (Niche Generics Ltd) (AMP)
10462911000001100,Zydol 50mg capsules (Dowelhurst Ltd) (AMP)
11415411000001109,Tramadol 50mg capsules (PLIVA Pharma Ltd) (AMP)
15195711000001100,Tramadol 50mg capsules (Sigma Pharmaceuticals Plc) (AMP)
16069711000001109,Tramadol 50mg capsules (Bristol Laboratories Ltd) (AMP)
16453711000001107,Zydol 50mg capsules (Lexon (UK) Ltd) (AMP)
17860911000001102,Tramadol 50mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
20170311000001107,Tramadol 50mg capsules (Accord-UK Ltd) (AMP)
203811000001106,Zydol 50mg capsules (Grunenthal Ltd) (AMP)
21892011000001100,Tramadol 50mg capsules (Waymade Healthcare Plc) (AMP)
24136911000001105,Tramadol 50mg capsules (Morningside Healthcare Ltd) (AMP)
24622911000001109,Tramadol 50mg capsules (Sandoz Ltd) (AMP)
246311000001101,Tramadol 50mg capsules (A A H Pharmaceuticals Ltd) (AMP)
26787711000001101,Tramadol 50mg capsules (Tillomed Laboratories Ltd) (AMP)
28803911000001101,Tramadol 50mg capsules (DE Pharmaceuticals) (AMP)
30924411000001106,Tramadol 50mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
35187411000001102,Tramadol 50mg capsules (Milpharm Ltd) (AMP)
36238411000001107,Tramadol 50mg capsules (Medreich Plc) (AMP)
36732111000001108,Tramadol 50mg capsules (Noumed Life Sciences Ltd) (AMP)
36925411000001101,Tramadol 50mg capsules (Relonchem Ltd) (AMP)
37507411000001107,Tramadol 50mg capsules (NorthStar Healthcare Unlimited Company) (AMP)
38620211000001101,Tramadol 50mg capsules (Brown & Burk UK Ltd) (AMP)
39915011000001107,Tramadol 50mg capsules (Medihealth (Northern) Ltd) (AMP)
400911000001108,Zamadol 50mg capsules (Viatris UK Healthcare Ltd) (AMP)
40703011000001103,Tramadol 50mg capsules (RX Farma) (AMP)
41847311000001106,Tramadol 50mg capsules (Genesis Pharmaceuticals Ltd) (AMP)
42017811000001106,Tramadol 50mg capsules (VMP)
42362511000001108,Tramadol 50mg capsules (Amarox Ltd) (AMP)
451511000001100,Tramake 50mg capsules (Galen Ltd) (AMP)
4821211000001104,Tramadol 50mg capsules (Genus Pharmaceuticals Ltd) (AMP)
736011000001107,Tramadol 50mg capsules (Zentiva Pharma UK Ltd) (AMP)
746011000001106,Tramadol 50mg capsules (IVAX Pharmaceuticals UK Ltd) (AMP)
796411000001109,Tramadol 50mg capsules (Teva UK Ltd) (AMP)
812811000001107,Tramadol 50mg capsules (Viatris UK Healthcare Ltd) (AMP)
849011000001103,Tramadol 50mg capsules (Sun Pharma UK Ltd) (AMP)
886411000001108,Tramadol 50mg capsules (Actavis UK Ltd) (AMP)
905911000001101,Tramadol 50mg capsules (Kent Pharma (UK) Ltd) (AMP)
939711000001107,Tramadol 50mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
9800611000001103,Tramadol 50mg capsules (Almus Pharmaceuticals Ltd) (AMP)
